,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
82,Moglix,"Noida, Uttar Pradesh, India","B2B, E-Commerce, Mobile","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",Undisclosed,23000000.0,Series C,2018
83,SEDEMAC Mechatronics,"Mumbai, Maharashtra, India","Automotive, Electric Vehicle, Renewable Energy",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,Undisclosed,1140351.0,Venture - Series Unknown,2018
84,MadGuy Labs,"Hyderabad, Andhra Pradesh, India",E-Learning,MadGuy Labs is a Online Test-prep Platform.,Undisclosed,150000.0,Venture - Series Unknown,2018
85,Dee Dee Labs,"Pune, Maharashtra, India","Embedded Systems, Health Care, Medical, Product Research",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Undisclosed,1140351.0,Seed,2018
86,FLEECA,"Jaipur, Rajasthan, India",—,FLEECA is a Tyre Care Provider company.,Undisclosed,1140351.0,Seed,2018
87,Shop101,"Mumbai, Maharashtra, India","Apps, E-Commerce, Internet",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,Undisclosed,11000000.0,Series B,2018
88,FeedMyPockets,"Bangalore City, Karnataka, India","Advertising, Human Resources, Marketing",On Demand Staffing Platform,Undisclosed,643275.0,Seed,2018
89,Housejoy,"Bengaluru, Karnataka, India","Beauty, Fitness, Home Services, Internet",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Undisclosed,3240000.0,Series B,2018
90,Ambee,"Bangalore, Karnataka, India","Health Care, Medical Device, Public Safety",Ambee is an Environment analytics startup.,Undisclosed,1140351.0,Angel,2018
91,FoodBuddy,"Belgaum, Karnataka, India","Food Delivery, Online Portals, Restaurants","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",Undisclosed,877193.0,Seed,2018
92,Ninjacart,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Undisclosed,36549708.0,Series B,2018
93,Olly Smart Credit Card,"New Delhi, Delhi, India","Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Olly is a digital credit card for India's working masses and young people.,Undisclosed,1140351.0,Seed,2018
94,Zestl,"Pune, Maharashtra, India",Software,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",Undisclosed,1140351.0,Seed,2018
95,BYJU’S,"Bangalore, Karnataka, India","EdTech, Education, Higher Education, Secondary Education",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,Undisclosed,540000000.0,Private Equity,2018
96,Wakefit,"Bangalore, Karnataka, India","Manufacturing, Retail",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,Undisclosed,9502924.0,Venture - Series Unknown,2018
97,Hero Electric,"New Delhi, Delhi, India",Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",Undisclosed,23391813.0,Venture - Series Unknown,2018
98,Pentation Analytics,"Mumbai, Maharashtra, India","Information Services, Information Technology, InsurTech",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,Undisclosed,1140351.0,Seed,2018
99,PerkFinance,"Bangalore, Karnataka, India","Consumer Lending, FinTech",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,Undisclosed,900000.0,Seed,2018
100,Roposo,"Gurgaon, Haryana, India","Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Undisclosed,10000000.0,Series C,2018
101,Plum Goodness,"Thane, Maharashtra, India","Beauty, Health Care",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,Undisclosed,1140351.0,Series A,2018
102,Drstore,"Mumbai, Maharashtra, India",Hospital,Drstore is a exclusive e- commerce platform.,Undisclosed,1140351.0,Seed,2018
